class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4406,ISS,112,01,"The Googlization of Knowledge: Information, Ethics, and Technology","Google has altered the way we see the world and ourselves. Its biases, valuing popularity over accuracy, affect how we value information and navigate news and ideas. This course examines information from different angles within the context of social justice, open access to information, and how the Internet and Google affect our lives. Themes include knowledge as a public good, Internet policies, data and visual literacies, social media, and artificial intelligence. Hands-on work researching how technology affects the access, understanding, and reliability of information in students' lives. Analysis, discussions, and reflection assignments with ongoing application to team-based projects.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,16,18,0,4,16,Graded,Y,Hannah Jacobs; Linda Daniel
4505,ISS,125S,01,Foundations of Game Design,"Exploration of the theory and practice of game design with a focus on critical play, game decomposition, and iterative design. Students explore a range of non-digital games to discover how design elements combine to form meaningful systems of play. Readings, discussion, and hands-on design exercises prepare students as they design, develop, and document meaningful games in a collaborative environment. Programming experience is not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,18,18,0,6,18,Graded,Y,Marshall Gregory Miller
5179,ISS,198,01,Experimental Interface Design,"Class explores issues surrounding embodied approaches to interface design. Articulates methodology for generating new forms of human/computer interface; includes workshops, discussions, student presentations, critiques and group brainstorming sessions. Content related to biomimetics; haptic body knowledge; multi-modal sensing; physical computing; physical | digital relationships; networked relations; the potentials of virtual space and different qualities of space, both visual and sonic. Database potentials discussed and explored in service of developing new approaches to interface. Instructor consent required.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,7,5,0,12,Graded,Y,William Seaman
5050,ISS,206,01,Digital Imaging,Photoshop and Illustrator used to introduce single and serial images for print and web output. Consent of instructor required.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,10,10,0,0,10,Graded,Y,Raquel Salvatella De Prada
5144,ISS,211,01,Animated Film: A History and Aesthetic,Evolution of animation from the philosophical 'toys' of the late eighteenth century to the major international entertainment form of today. Special focus on American animation as it evolved from inspired individuals like Emile Cohl and Winsor McCay to a full-blown industrial model allowing for the creation of the animated feature and contemporary special effects.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,35,20,15,0,35,Graded,Y,Casey Herbert
4508,ISS,240S,01,Fundamentals of Web-Based Multimedia Communications,"Multimedia information systems, including presentation media, hypermedia, graphics, animation, sound, video, and integrated authoring techniques; underlying technologies that make them possible. Practice in the design innovation, programming, and assessment of web-based digital multimedia information systems. Intended for students in non-technical disciplines. Engineering or Computer Science students should take Engineering 206 or Computer Science 408.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,8,8,0,0,8,Graded,Y,Departmental Staff
3367,ISS,250,01,Building Global Audiences,"Marketing and publicity are so important to audience building that, 20 years ago, expanding beyond local audiences usually couldn't be accomplished without huge advertising budgets. However, thanks to the Internet, you can build a global audience from your dorm room. This class explores how. Learn about social media, search engine optimization, virality, content marketing, growth hacking, and other digital audience building strategies. They're difficult to learn and time consuming to execute, so expect to struggle. We'll learn as much from our failures as we will from our successes as we discover what it takes to cultivate global awareness for an idea without ever leaving Durham.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,24,13,11,0,24,Graded,Y,Aaron Philip Dinin
3375,ISS,253,01,Social Marketing: From Literary Celebrities to Instagram Influencers,"Typical Duke students spend hours each day using social media. You've surely heard the platforms described as 'revolutionary,' and you've also heard them described as 'time wasters.' What you probably haven't thought about is how similar they are to previous 'revolutionary' communications technologies like novels, newspapers, and even language itself. This course explores ways in which studying the masters of previous 'social' media technologies—the Shakespeares, Whitmans, and Eliots of the world—can help us understand how influencers on digital social media leverage the same platforms you use every day to market themselves, build their brands, and grow their audiences.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,60,60,0,8,60,Graded,Y,Aaron Philip Dinin
9846,ISS,290S,01,Special Topics in Information Science + Studies,Topics vary by semester and instructor.,COMP CULTURAL ANALYSIS,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,13,2,0,15,Graded,Y,Richard Jean So
9694,ISS,290S,05,Special Topics in Information Science + Studies,Topics vary by semester and instructor.,IMAGINING TECHNOLOGY,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,0,18,0,18,Graded,Y,Vladimir Lukin
4361,ISS,291,01,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4362,ISS,291,02,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4363,ISS,291,03,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4364,ISS,291,04,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4365,ISS,291,05,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4366,ISS,291-1,01,Independent Study,Half-credit Independent Study in Information Science + Studies.,,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4367,ISS,291-1,02,Independent Study,Half-credit Independent Study in Information Science + Studies.,,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4368,ISS,291-1,03,Independent Study,Half-credit Independent Study in Information Science + Studies.,,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4369,ISS,291-1,04,Independent Study,Half-credit Independent Study in Information Science + Studies.,,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4370,ISS,291-1,05,Independent Study,Half-credit Independent Study in Information Science + Studies.,,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4386,ISS,292,01,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4387,ISS,292,02,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4388,ISS,292,03,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4389,ISS,292,04,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4390,ISS,292,05,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4349,ISS,293,01,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4350,ISS,293,02,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4351,ISS,293,03,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4352,ISS,293,04,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4353,ISS,293,05,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
9963,ISS,294L,001,Interactive Graphics: Critical Code,"Introduction to creative computation. Learn how algorithms and computational systems generate interactive digital artwork through computer code. Explore key concepts in geometry, trigonometry, and linear algebra and their relation to the creation of form, pattern, and movement in pixel-based, object-oriented computation. Through a set of weekly technical and aesthetic prompts, students develop iterative designs in response to constructive critique, culminating in an end-of-semester exhibition of student work. No previous programming experience or prerequisites required.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,13,13,0,0,13,Graded,Y,Mark J. V. Olson
9971,ISS,294L,01L,Interactive Graphics: Critical Code,"Introduction to creative computation. Learn how algorithms and computational systems generate interactive digital artwork through computer code. Explore key concepts in geometry, trigonometry, and linear algebra and their relation to the creation of form, pattern, and movement in pixel-based, object-oriented computation. Through a set of weekly technical and aesthetic prompts, students develop iterative designs in response to constructive critique, culminating in an end-of-semester exhibition of student work. No previous programming experience or prerequisites required.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,13,13,0,0,13,Graded,Y,Mark J. V. Olson
6142,ISS,313L,001,Advanced Data Visualization,"This course is all about the art and science of visualizing data. Learn about the what (types of visualizations, tools to produce them), the how (start with a design, pre-process the data, map it to graphical attributes, make strategic decisions about visual encoding, post-process for readability and visual appeal), and the why (the theory behind the grammar of graphics). Evaluate the clarity, effectiveness, and honesty of visualization choices and improve (your and others') visualizations through an iterative design process. Discuss the role of statistical graphics in modeling and inference. Do it all in R, reproducibly, and using a variety of modern data visualization packages. Prerequisite: Prerequisite: Statistical Science 198L or (198L-1 and 198L-2) or 199L or (199L-1 and 199L-2) or 210L.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,60,58,2,0,56,Graded,Y,Mine Cetinkaya-Rundel
6143,ISS,313L,01L,Advanced Data Visualization,"This course is all about the art and science of visualizing data. Learn about the what (types of visualizations, tools to produce them), the how (start with a design, pre-process the data, map it to graphical attributes, make strategic decisions about visual encoding, post-process for readability and visual appeal), and the why (the theory behind the grammar of graphics). Evaluate the clarity, effectiveness, and honesty of visualization choices and improve (your and others') visualizations through an iterative design process. Discuss the role of statistical graphics in modeling and inference. Do it all in R, reproducibly, and using a variety of modern data visualization packages. Prerequisite: Prerequisite: Statistical Science 198L or (198L-1 and 198L-2) or 199L or (199L-1 and 199L-2) or 210L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,30,28,2,0,28,Graded,Y,Mine Cetinkaya-Rundel
6144,ISS,313L,02L,Advanced Data Visualization,"This course is all about the art and science of visualizing data. Learn about the what (types of visualizations, tools to produce them), the how (start with a design, pre-process the data, map it to graphical attributes, make strategic decisions about visual encoding, post-process for readability and visual appeal), and the why (the theory behind the grammar of graphics). Evaluate the clarity, effectiveness, and honesty of visualization choices and improve (your and others') visualizations through an iterative design process. Discuss the role of statistical graphics in modeling and inference. Do it all in R, reproducibly, and using a variety of modern data visualization packages. Prerequisite: Prerequisite: Statistical Science 198L or (198L-1 and 198L-2) or 199L or (199L-1 and 199L-2) or 210L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,30,30,0,0,28,Graded,Y,Mine Cetinkaya-Rundel
10016,ISS,323S,01,Social Movements and Social Media,"Examines uses and abuses of social media by social movements. Interested in a broader historical study of mediating technologies and oppositional public sphere, course considers the uses of cameras, phones, cassette players, radio, and social media platforms, but also books, bodies, art, fashion, and automobiles as oppositional technologies. Studies political and ethical uses of technologies in social unrest. Investigates impact of technologies on social movements and social transformations in contemporary history. Student driven case studies will highlight contemporary engagement with social media by networked social movements.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,0,12,0,12,Graded,Y,Negar Mottahedeh
4401,ISS,392,01,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4402,ISS,392,02,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4403,ISS,392,03,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
4404,ISS,392,04,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Departmental Staff
