uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987227_27466679,CLST-340A-01,ROME: HISTORY OF CITY.CLST-340A-01.ARTHIST-209A-01.HISTORY-238A-01.,"Casias, Cassandra",Summer I 2023,CLASSICAL,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF","CLST, ARTHIST, HISTORY",98974,R3taZNKnw14IRH7UBESaUg%3d%3d,%2fFWFjJZ6kIsg49D1mLU%2bBw%3d%3d,aY64I15J7j0YoYpvSZvf%2bA%3d%3d,2025-11-24T15:45:37.719762
154503_9169_12241457_27991638,AMES-609S-01,TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,"Kwon, Aimee",Fall 2023,AMES,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF","AMES, AADS, ARTHIST, CINE, CULANTH, GSF",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KgUhuWA7zJhVEbLWwcER8g%3d%3d,1iujJodvK%2b%2f%2f%2bHqanSIZ8A%3d%3d,2025-11-24T15:45:37.719864
154503_9169_12241480_27446185,CMAC-580S-01,DIGITAL HUMANITIES PROSEM 1.CMAC-580S-01.ARTHIST-580S-01.HCVIS-580S-01.ISS-580S-01.VMS-580S-01.,"Szabo, Victoria",Fall 2023,CMAC,"8 of 16  responded (50.00%)



 View Report
                            



 Download PDF","CMAC, ARTHIST, HCVIS, ISS, VMS",98825,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ym8AmIg6zrB6ADSPRlQRVQ%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T15:45:37.719958
154503_9169_12241509_27446048,CULANTH-743S-01,MEDIA AND MEDIATION.CULANTH-743S-01.ARTHIST-743S-01.VMS-743S-01.,"Stein, Rebecca",Fall 2023,CULANTHRO,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","CULANTH, ARTHIST, VMS",98829,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,vWt1CCAgdz8kTdjmEbMe6A%3d%3d,DlqU1BhP497DBiqVnHrzTA%3d%3d,2025-11-24T15:45:37.720041
154503_9169_12241670_27991792,ARTHIST-543S-01,METHODOLOGY OF ART HST.ARTHIST-543S-01.,"Wharton, Annabel",Fall 2023,ART&AHIST,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",ARTHIST,98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,RvkAdwZHfK7mG5IZ4%2fey0Q%3d%3d,wlvu7Ye0nudipF3H3kY5kA%3d%3d,2025-11-24T15:45:37.720170
154503_9169_12241670_27991793,ARTHIST-543S-01,METHODOLOGY OF ART HST.ARTHIST-543S-01.,"Dillon, Sheila",Fall 2023,ART&AHIST,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",ARTHIST,98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,RvkAdwZHfK7mG5IZ4%2fey0Q%3d%3d,puMPi0bW3HbPHtr4JK1t7g%3d%3d,2025-11-24T15:45:37.720250
154503_9169_12241671_27991729,LIT-890S-03,SEMINARS IN LIT (TOPICS).LIT-890S-03.ARTHIST-790S-03.ENGLISH-890S-03.GERMAN-890S-03.PSY-890S-03.ROMST-790S-03.,"Khanna, Ranjana",Fall 2023,LITERATURE,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","LIT, ARTHIST, ENGLISH, GERMAN, PSY, ROMST",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ltCpByzrdXm7vjqvrgAbbA%3d%3d,6AU1iaXLvaCvmkQpoCPk9A%3d%3d,2025-11-24T15:45:37.720332
153858_9169_12282778_27991794,ARTHIST-258-01,RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,"Galletti, Sara",Fall 2023,ART&AHIST,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","ARTHIST, ITALIAN, MEDREN",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,G7qqmfZ%2bc0bdQHfmVk9UJQ%3d%3d,atO6zqB3jIK2ktQZa9rtvw%3d%3d,2025-11-24T15:45:37.720411
153858_9169_12282790_27991707,ARTHIST-89S-02,FIRST-YEAR SEMINAR (TOP).ARTHIST-89S-02.CLST-89S-02.,"Forte, Maurizio",Fall 2023,ART&AHIST,"14 of 16  responded (87.50%)



 View Report
                            



 Download PDF","ARTHIST, CLST",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,XFCLQjc2Oh1cJGUts%2bcBDQ%3d%3d,5YgJdEgqfwkv78eOl2QmQw%3d%3d,2025-11-24T15:45:37.720488
153858_9169_12282793_27445819,ARTHIST-231-02,HISTORY OF ART MARKETS.ARTHIST-231-02.ECON-344-02.VMS-242-02.,"Van Miegroet, Hans",Fall 2023,ART&AHIST,"7 of 31  responded (22.58%)



 View Report
                            



 Download PDF","ARTHIST, ECON, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,YkuPsGkqRwZYL%2fcze4H%2f%2bA%3d%3d,WLvbXmCKSWtsGQyihLvyDw%3d%3d,2025-11-24T15:45:37.720568
153858_9169_12282840_27445819,ARTHIST-231-01,HISTORY OF ART MARKETS.ARTHIST-231-01.ECON-344-01.VMS-242-01.,"Van Miegroet, Hans",Fall 2023,ART&AHIST,"5 of 32  responded (15.63%)



 View Report
                            



 Download PDF","ARTHIST, ECON, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,ZdnE1x%2fdHKIt4R1Lk6gyMw%3d%3d,WLvbXmCKSWtsGQyihLvyDw%3d%3d,2025-11-24T15:45:37.720647
153858_9169_12282842_27446034,ARTHIST-284-01,POLITICS & MODERN ARCHITECTURE.ARTHIST-284-01.HISTORY-263-01.POLSCI-263-01.PUBPOL-287-01.,"Jaskot, Paul",Fall 2023,ART&AHIST,"6 of 26  responded (23.08%)



 View Report
                            



 Download PDF","ARTHIST, HISTORY, POLSCI, PUBPOL",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,Hh6f1k8fH7XPnjZEtamTeg%3d%3d,Mbri0f%2fPxUSyScTcBtm9Lw%3d%3d,2025-11-24T15:45:37.720760
