uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282775_28112114,HISTORY-257-01,RELIGION/REFORM/VIOLENCE.HISTORY-257-01.MEDREN-281-01.,"Robisheaux, Thomas",Fall 2023,HISTORY,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF","HISTORY, MEDREN",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,KcaiB2IxCLZJ0RT1KCWgIA%3d%3d,nmstO3KGosnMtpqspqQwQA%3d%3d,2025-11-24T16:32:09.031262
153858_9169_12282778_27991794,ARTHIST-258-01,RENAISSANCE ARCH. IN ITALY.ARTHIST-258-01.ITALIAN-258-01.MEDREN-227-01.,"Galletti, Sara",Fall 2023,ART&AHIST,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","ARTHIST, ITALIAN, MEDREN",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,G7qqmfZ%2bc0bdQHfmVk9UJQ%3d%3d,atO6zqB3jIK2ktQZa9rtvw%3d%3d,2025-11-24T16:32:09.031363
153858_9169_12282779_28112078,HISTORY-370-01,AZTECS AND MAYANS.HISTORY-370-01.MEDREN-270-01.,"Sigal, Peter",Fall 2023,HISTORY,"7 of 17  responded (41.18%)



 View Report
                            



 Download PDF","HISTORY, MEDREN",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,uAkmy68urdvcWRNAyqWl2g%3d%3d,Y%2bNhBL%2buLHPaktukAFTdpg%3d%3d,2025-11-24T16:32:09.031446
153858_9169_12282791_28112114,HISTORY-190FS-02,TOPICS IN FOCUS PROGRAM.HISTORY-190FS-02.MEDREN-190FS-03.,"Robisheaux, Thomas",Fall 2023,HISTORY,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF",,98997,CtmkEaIRhsSP75R5T115eg%3d%3d,qwiGnG7aqwoxUBLwQ5FKBg%3d%3d,nmstO3KGosnMtpqspqQwQA%3d%3d,2025-11-24T16:32:09.031556
153858_9169_12282873_27445892,GERMAN-275-01,LEGEND OF KING ARTHUR.GERMAN-275-01.ENGLISH-286-01.MEDREN-315-01.,"Henry, April",Fall 2023,GERMAN,"14 of 17  responded (82.35%)



 View Report
                            



 Download PDF","GERMAN, ENGLISH, MEDREN",98994,CtmkEaIRhsSP75R5T115eg%3d%3d,IAn6hjiNs94Cynljp8Iuxw%3d%3d,LTYMQNyUMJG9YgaKmIgNww%3d%3d,2025-11-24T16:32:09.031640
153858_9169_12282884_28112039,ARTHIST-227-01,MEDIEVAL CASTLES OF EUROPE.ARTHIST-227-01.MEDREN-226-01.,"Triplett, Edward",Fall 2023,ART&AHIST,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","ARTHIST, MEDREN",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,g%2fX24odx2dqNyzvjFsd1cw%3d%3d,0MsD1sOTUa1RprMonpNf8Q%3d%3d,2025-11-24T16:32:09.031745
153858_9169_12282907_28112067,AMES-209S-01,"LOVE, SPIRIT, AND MYSTICISM.AMES-209S-01.MEDREN-359S-01.RELIGION-209S-01.","Safi, Omid",Fall 2023,AMES,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF","AMES, MEDREN, RELIGION",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,MfK%2fcjA%2b96ZLYUBa0FVuaQ%3d%3d,FGpevo3s9%2fpzG3lcV%2fsQEQ%3d%3d,2025-11-24T16:32:09.031839
153858_9169_12282918_27446040,MUSIC-190FS-02,FOCUS SEMINAR (TOPICS).MUSIC-190FS-02.MEDREN-190FS-02.,"Giles, Roseen",Fall 2023,MUSIC,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF",,99015,CtmkEaIRhsSP75R5T115eg%3d%3d,gsgqTRY7Ro3Z5BxpNWM6rw%3d%3d,%2fu25IGOl9916W%2fiYX2vNUA%3d%3d,2025-11-24T16:32:09.031923
153858_9169_12282958_28112055,AMES-319S-01,ANDALUSIA.AMES-319S-01.JEWISHST-319S-01.MEDREN-352S-01.RELIGION-214S-01.ROMST-319S-01.,"McLarney, Ellen",Fall 2023,AMES,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF","AMES, JEWISHST, MEDREN, RELIGION, ROMST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,fXoRp89uvSL61F4y80vMYg%3d%3d,NGE84KCFpVx%2bEsNS7N5srA%3d%3d,2025-11-24T16:32:09.032003
153858_9169_12283004_28112056,ENGLISH-331S-01,LATE MDVL LIT/CULTURE.ENGLISH-331S-01.MEDREN-334S-01.,"Witten, Derek",Fall 2023,ENGLISH,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF","ENGLISH, MEDREN",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,3EtO7vlJJ8n1fYt0uil04g%3d%3d,a%2fRdlO0X%2bqkfGWzYYYXHyA%3d%3d,2025-11-24T16:32:09.032084
153858_9169_12283016_28111931,RELIGION-261-01,HISTORY TO FANTASY: RELIGIONS.RELIGION-261-01.ENGLISH-254-01.GSF-261-01.HISTORY-244-01.MEDREN-354-01.,"Dubois, Katharine",Fall 2023,RELIGION,"6 of 25  responded (24.00%)



 View Report
                            



 Download PDF","RELIGION, ENGLISH, GSF, HISTORY, MEDREN",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,YNU6SqlBc6BEivEL83GThw%3d%3d,EketNiIHngD8k0sI2y46iA%3d%3d,2025-11-24T16:32:09.032166
153858_9169_12283041_27991730,LATIN-376S-01,MEDIEVAL LATIN.LATIN-376S-01.MEDREN-348S-01.,"Woods, Jennifer",Fall 2023,CLASSICAL,"12 of 16  responded (75.00%)



 View Report
                            



 Download PDF","LATIN, MEDREN",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,AZeNmXn3np%2fpJ15u%2fAQJvQ%3d%3d,PN7aohsRiTF7ccCwQeZQcA%3d%3d,2025-11-24T16:32:09.032247
153858_9169_12283089_28111888,ENGLISH-190S-1-01,SP TOP IN LANG & LIT.ENGLISH-190S-1-01.MATH-190S-01.MEDREN-190S-01.,"Giugni, Astrid",Fall 2023,ENGLISH,"12 of 17  responded (70.59%)



 View Report
                            



 Download PDF","ENGLISH, MATH, MEDREN",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,vv%2b6LecvkfyZi%2fVswTincQ%3d%3d,PBf%2frrBlzAFamzHHO8LIwQ%3d%3d,2025-11-24T16:32:09.032326
153858_9169_12283099_27991644,HISTORY-117-01,RENAISSANCE & REVOLUTION.HISTORY-117-01.MEDREN-125-01.,"Martin, John",Fall 2023,HISTORY,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","HISTORY, MEDREN",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,fkO95N2rJeEePrbWEGoQ7A%3d%3d,ZLUpJW0VbP9yINWyqSbssg%3d%3d,2025-11-24T16:32:09.032475
