uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
161337_9470_12750753_28807806,JAM-368S-01,RACE AND THE MEDIA.JAM-368S-01.PUBPOL-368S-01.,"Deggans, Eric",Spring 2024,DWC,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ZuFg13OX6SypTtfNob1q%2fQ%3d%3d,%2bKwTRhQZuF6i%2fHc5js1IKQ%3d%3d,2025-11-24T16:24:55.416191
161337_9470_12750915_28112099,JAM-490-10,SP TOPICS JOURNALISM & MEDIA.JAM-490-10.POLSCI-290-10.PUBPOL-290-10.,"Bruni, Frank",Spring 2024,DWC,"5 of 27  responded (18.52%)



 View Report
                            



 Download PDF","JAM, POLSCI, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,vJUnSwWmEpZcWFBxXqnNUg%3d%3d,P48JM0i2DPtf34TbAYuTQw%3d%3d,2025-11-24T16:24:55.416298
161337_9470_12750938_28112145,JAM-366S-01,LONG-FORM JOURNALISM.JAM-366S-01.DOCST-356S-01.PUBPOL-366S-01.,"Dickey, Bronwen",Spring 2024,DWC,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF","JAM, DOCST, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,t8jQ%2fzQAIMFOLE%2fqxoqgGQ%3d%3d,dh4eR08V9q5MJ8uv9peg9A%3d%3d,2025-11-24T16:24:55.416423
161337_9470_12750968_28807800,JAM-362S-01,BUSINESS JOURNALISM.JAM-362S-01.PUBPOL-370S-01.,"McCartney, Scott",Spring 2024,DWC,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,FTVWLJLRoQxRMdWciMoZVg%3d%3d,a1qttnche3mXhwPD5n08Mw%3d%3d,2025-11-24T16:24:55.416512
161337_9470_12750998_28112162,JAM-364S-01,ART OF THE INTERVIEW.JAM-364S-01.DOCST-364S-01.PUBPOL-364S-01.,"Yeoman, Barry",Spring 2024,DWC,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","JAM, DOCST, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,NWgZqdkBHWj0LfsRsO1E9A%3d%3d,BQR%2f%2b5Tj61UaulG2fV7Xlg%3d%3d,2025-11-24T16:24:55.416596
161337_9470_12751042_28807821,JAM-371-01,NEWS/MORAL BATTLEGROUND.JAM-371-01.CINE-371-01.DOCST-371-01.ETHICS-259-01.POLSCI-375-01.PUBPOL-371-01.RIGHTS-371-01.,"Tash, Paul",Spring 2024,DWC,"27 of 29  responded (93.10%)



 View Report
                            



 Download PDF","JAM, CINE, DOCST, ETHICS, POLSCI, PUBPOL, RIGHTS",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,PMPE6HewSde5sEdA7xtIxg%3d%3d,mth1iKU2zaPd5q7gh8bAiQ%3d%3d,2025-11-24T16:24:55.416676
161337_9470_12751177_27886267,JAM-390S-60,SP TOPICS JOURNALISM & MEDIA.JAM-390S-60.PUBPOL-290S-08.,"Buckley, Stephen",Spring 2024,DWC,"18 of 18  responded (100.00%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,wBXRzjN5D5XhUUXSB0Kzsg%3d%3d,3LuG25hcExTLAoK3xWt9uA%3d%3d,2025-11-24T16:24:55.416756
161337_9470_12751296_28112102,DOCST-135S-01,INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.JAM-135S-01.,"Ahmed, Shiraz",Spring 2024,DOCST,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","DOCST, JAM",98982,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,dpNXG%2bdIVXqeaUJ9qoZfFw%3d%3d,rnVwcMr2atj6dxN4H%2bpQyg%3d%3d,2025-11-24T16:24:55.416834
171550_9973_13686601_30096924,DOCST-135S-01,INTRO TO AUDIO DOCUMENTARY.DOCST-135S-01.ETHICS-135S-01.JAM-135S-01.,"Biewen, John",Fall 2024,DOCST,"12 of 13  responded (92.31%)



 View Report
                            



 Download PDF","DOCST, ETHICS, JAM",98982,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,94QxuxZAKnf3QjUmpakRzA%3d%3d,7ZBY4Qybu90MXgep%2b7F2PA%3d%3d,2025-11-24T16:24:55.416912
171550_9973_13686602_27886267,JAM-390S-20,SP TOPICS JOURNALISM & MEDIA.JAM-390S-20.PUBPOL-290S-20.,"Buckley, Stephen",Fall 2024,DWC,"11 of 11  responded (100.00%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,4BtqFzuuUZXdPpvuH5hnDA%3d%3d,3LuG25hcExTLAoK3xWt9uA%3d%3d,2025-11-24T16:24:55.416991
171550_9973_13686649_28112099,JAM-390S-60,SP TOPICS JOURNALISM & MEDIA.JAM-390S-60.ENGLISH-290S-4-60.ETHICS-390S-60.PUBPOL-290S-60.,"Bruni, Frank",Fall 2024,DWC,"7 of 12  responded (58.33%)



 View Report
                            



 Download PDF","JAM, ENGLISH, ETHICS, PUBPOL",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,7sA2%2bN%2fRfzwMXV5qyQHipw%3d%3d,P48JM0i2DPtf34TbAYuTQw%3d%3d,2025-11-24T16:24:55.417068
171550_9973_13686655_28112103,JAM-390S-10,SP TOPICS JOURNALISM & MEDIA.JAM-390S-10.PUBPOL-290S-10.,"Napoli, Philip",Fall 2024,DWC,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,nnolc8%2fO%2bR9%2fU97neCX9Kw%3d%3d,aT71ZYo9Koa8O4Dkc2QWhQ%3d%3d,2025-11-24T16:24:55.417145
171550_9973_13686720_28112165,JAM-410-01,JOURNALISM/MEDIA ST.JAM-410-01.PUBPOL-410-01.,"Caplan, Robyn",Fall 2024,DWC,"9 of 22  responded (40.91%)



 View Report
                            



 Download PDF","JAM, PUBPOL",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,axNZH%2bhG0GvPqfrhEGfXwQ%3d%3d,y3rBrkhqU5usH%2bD0nilUGQ%3d%3d,2025-11-24T16:24:55.417228
171550_9973_13686727_28111704,THEATRST-206SA-01,"NEW YORK, NEW YORK.THEATRST-206SA-01.CULANTH-206SA-01.JAM-392SA-30-01.VMS-398SA-01.","Donovan, Ryan",Fall 2024,THEATRST,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF",,99035,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,EITKQLb%2fGk%2f1AkAjmY0SOQ%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:24:55.417308
171550_9973_13686750_28112086,JAM-390S-30,SP TOPICS JOURNALISM & MEDIA.JAM-390S-30.EDUC-290S-30.PUBPOL-290S-30.,"Wasiolek, Suzanne",Fall 2024,DWC,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF","JAM, EDUC, PUBPOL",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,aewiRsqMcESssuxEWnmhew%3d%3d,I%2faaCQdD20pTDCPhrNsIpw%3d%3d,2025-11-24T16:24:55.417388
171550_9973_13686788_30187778,JAM-363-01,INTRODUCTION TO PODCASTING.JAM-363-01.DOCST-369-01.,"Jackson, Carol",Fall 2024,DWC,"9 of 12  responded (75.00%)



 View Report
                            



 Download PDF","JAM, DOCST",102969,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,uDrj5NM1AZEtvXEPcEqaFQ%3d%3d,V8Ch3R5LkVqVPgKG3cgPIw%3d%3d,2025-11-24T16:24:55.417466
171550_9973_13686789_28111704,THEATRST-203A-01,"ARTS, CULTURE, AND PERFORMANCE.THEATRST-203A-01.ARTHIST-203A-01.CINE-217A-01.DANCE-203A-01.ENGLISH-203A-01.JAM-392A-10-01.MUSIC-215A-01.VMS-272A-01.","Donovan, Ryan",Fall 2024,THEATRST,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","THEATRST, ARTHIST, CINE, DANCE, ENGLISH, JAM, MUSIC, VMS",99035,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,ClTlZnII2MXg7OzyLLVBLw%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:24:55.417546
