uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12281799_28111701,THEATRST-350-1-01,MAINSTAGE ACTING (TOP).THEATRST-350-1-01.,"Cullen, Christopher",Fall 2023,THEATRST,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",THEATRST,99035,CtmkEaIRhsSP75R5T115eg%3d%3d,9TJK1PRY23te6ysPnOXkeg%3d%3d,EAWT1lhqYXq1WiISTr5SNA%3d%3d,2025-11-24T16:48:51.560954
153858_9169_12281809_28111700,THEATRST-145S-03,ACTING.THEATRST-145S-03.,"Storer, Jeff",Fall 2023,THEATRST,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF",THEATRST,99035,CtmkEaIRhsSP75R5T115eg%3d%3d,2AgMzrcv7X%2bSDN4aJBdQSQ%3d%3d,TSbmuFwUDIuwak%2bpeZPmkA%3d%3d,2025-11-24T16:48:51.561077
153858_9169_12281814_28111702,THEATRST-145S-02,ACTING.THEATRST-145S-02.,"Zhang, Tom",Fall 2023,THEATRST,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",THEATRST,99035,CtmkEaIRhsSP75R5T115eg%3d%3d,f6zKOze%2fDqOF88OV94qHMA%3d%3d,4oJQBszvVtlI%2fOEZFOT2Bw%3d%3d,2025-11-24T16:48:51.561157
153858_9169_12281837_28111700,THEATRST-380S-2-01,PLAYMAKING FOR ACTORS.THEATRST-380S-2-01.,"Storer, Jeff",Fall 2023,THEATRST,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",THEATRST,99035,CtmkEaIRhsSP75R5T115eg%3d%3d,A%2bLLDOoh7wE%2bcZlhYwyrEg%3d%3d,TSbmuFwUDIuwak%2bpeZPmkA%3d%3d,2025-11-24T16:48:51.561233
153858_9169_12282894_28112071,THEATRST-275S-01,ACTING FOR THE CAMERA.THEATRST-275S-01.CINE-310S-01.,"Irving, Chauntee'",Fall 2023,THEATRST,"8 of 9  responded (88.89%)



 View Report
                            



 Download PDF","THEATRST, CINE",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,A235FY0g4iVmkbv2UH35Yg%3d%3d,JuWoD1qgPLqTHS1lGEE8Tg%3d%3d,2025-11-24T16:48:51.561403
153858_9169_12282957_27446026,WRITING-199FS-01,KNOWING THROUGH PERFORMANCE.WRITING-199FS-01.DANCE-199FS-01.MUSIC-199FS-01.THEATRST-199FS-01.,"Rego, Marcia",Fall 2023,UWC,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",,99036,CtmkEaIRhsSP75R5T115eg%3d%3d,Cd%2fVB89aLWywJLQvs1%2fb5A%3d%3d,7Og6tQ5N%2f5JzSUkrXd0E1w%3d%3d,2025-11-24T16:48:51.561495
153858_9169_12282968_28112074,THEATRST-261S-01,COSTUME DESIGN.THEATRST-261S-01.ARTSVIS-233S-01.,"Haverkamp, Hannah",Fall 2023,THEATRST,"8 of 12  responded (66.67%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,yjK01SvejEzUrXV345EXZg%3d%3d,HeVE2ISHhDJqTyBlTwQ1Xw%3d%3d,2025-11-24T16:48:51.561571
153858_9169_12282979_28112071,THEATRST-215-01,THE SINGING ACTOR.THEATRST-215-01.MUSIC-214-01.,"Irving, Chauntee'",Fall 2023,THEATRST,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF","THEATRST, MUSIC",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,ds7urgkZukp%2fJZz%2bSgV38w%3d%3d,JuWoD1qgPLqTHS1lGEE8Tg%3d%3d,2025-11-24T16:48:51.561646
153858_9169_12283007_28112064,THEATRST-273S-01,SCREENWRITING.THEATRST-273S-01.CINE-305S-01.ENGLISH-317S-01.VMS-387S-01.,"Bell, Neal",Fall 2023,THEATRST,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","THEATRST, CINE, ENGLISH, VMS",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,SfQs5X%2fsu3b2sLhNcdVIdQ%3d%3d,57TS2mBXeFv4jNUUlYJ1DQ%3d%3d,2025-11-24T16:48:51.561716
153858_9169_12283042_28111704,THEATRST-125S-01,AMERICAN MUSICALS.THEATRST-125S-01.DANCE-125S-01.MUSIC-243S-01.,"Donovan, Ryan",Fall 2023,THEATRST,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","THEATRST, DANCE, MUSIC",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,03rrOMQx8B4%2bTslo64AVRw%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:48:51.561789
153858_9169_12283077_28112049,CLST-304-01,DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,"Ginsberg, Lauren",Fall 2023,CLASSICAL,"5 of 18  responded (27.78%)



 View Report
                            



 Download PDF","CLST, THEATRST, VMS",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,tz48c%2fpE4LTcCMSmFg02Sw%3d%3d,JiZG5GQGqiXCmB3gOcrCHA%3d%3d,2025-11-24T16:48:51.561861
153858_9169_12283284_28111690,WRITING-267S-01,THE DIALOG LABORATORY.WRITING-267S-01.EDUC-267S-01.THEATRST-281S-01.,"Landes, David",Fall 2023,UWC,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF","WRITING, EDUC, THEATRST",99036,CtmkEaIRhsSP75R5T115eg%3d%3d,%2f9pIhkVJdf7xKaxrWBDY2g%3d%3d,muPW3j7k1W5Je5KvYgYkUg%3d%3d,2025-11-24T16:48:51.561933
161337_9470_12749932_28112060,THEATRST-145S-07,ACTING.THEATRST-145S-07.,"Montozzi-Wood, Johann",Spring 2024,THEATRST,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF",THEATRST,99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,2TC0auhaojApTZpNtgyvMg%3d%3d,O2VbYvTAhw4K99sOPZYXww%3d%3d,2025-11-24T16:48:51.562002
161337_9470_12749935_28111702,THEATRST-145S-04,ACTING.THEATRST-145S-04.,"Zhang, Tom",Spring 2024,THEATRST,"8 of 12  responded (66.67%)



 View Report
                            



 Download PDF",THEATRST,99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,RJoUhM4sZXlXmeKlD8gvSw%3d%3d,4oJQBszvVtlI%2fOEZFOT2Bw%3d%3d,2025-11-24T16:48:51.562071
161337_9470_12749941_28111702,THEATRST-145S-01,ACTING.THEATRST-145S-01.,"Zhang, Tom",Spring 2024,THEATRST,"7 of 12  responded (58.33%)



 View Report
                            



 Download PDF",THEATRST,99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,dYkRmeIEi0LMj6XuBliUvg%3d%3d,4oJQBszvVtlI%2fOEZFOT2Bw%3d%3d,2025-11-24T16:48:51.562138
161337_9470_12749944_28112062,THEATRST-350-1-01,MAINSTAGE ACTING (TOP).THEATRST-350-1-01.,"Odendahl-James, Jules",Spring 2024,THEATRST,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",THEATRST,99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,W4OZvSFMc9kLotYvWNw5wg%3d%3d,SmC94uWwBC%2bzcMGb5QVrAQ%3d%3d,2025-11-24T16:48:51.562206
161337_9470_12749945_28112060,THEATRST-145S-02,ACTING.THEATRST-145S-02.,"Montozzi-Wood, Johann",Spring 2024,THEATRST,"8 of 11  responded (72.73%)



 View Report
                            



 Download PDF",THEATRST,99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,tqcjyqvTSOAoRdUloctBwQ%3d%3d,O2VbYvTAhw4K99sOPZYXww%3d%3d,2025-11-24T16:48:51.562300
161337_9470_12750735_28112071,THEATRST-374S-01,CAMERA ACTING ON LOCATION.THEATRST-374S-01.CINE-367S-01.,"Irving, Chauntee'",Spring 2024,THEATRST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","THEATRST, CINE",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,PKpU5mSoM134VKNwovc8LQ%3d%3d,JuWoD1qgPLqTHS1lGEE8Tg%3d%3d,2025-11-24T16:48:51.562375
161337_9470_12750824_28111677,MUSIC-190S-01,SPECIAL TOPICS IN MUSIC.MUSIC-190S-01.THEATRST-290S-7-01.,"Carter, Devon",Spring 2024,MUSIC,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","MUSIC, THEATRST",99015,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,WBX3LMCIP5PPu2qn0FgWqg%3d%3d,%2ffzcj94o%2fYXT3PL%2fHYnBrw%3d%3d,2025-11-24T16:48:51.562450
161337_9470_12750850_28111704,THEATRST-250S-01,QUEER THEATER.THEATRST-250S-01.GSF-250S-01.,"Donovan, Ryan",Spring 2024,THEATRST,"8 of 12  responded (66.67%)



 View Report
                            



 Download PDF","THEATRST, GSF",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,uFCiWmbggjMJZhfdfnhEwQ%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:48:51.562522
161337_9470_12750865_28111787,PUBPOL-213-01,ARTS POLICY AND LEADERSHIP.PUBPOL-213-01.ARTHIST-228-01.ARTSVIS-228-01.DANCE-202-01.ECON-246-01.I&E-230-01.MUSIC-230-01.THEATRST-231-01.,"Nurkin, Andrew",Spring 2024,PPS,"14 of 20  responded (70.00%)



 View Report
                            



 Download PDF","PUBPOL, ARTHIST, ARTSVIS, DANCE, ECON, I&E, MUSIC, THEATRST",99026,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,zDMyBoeTuGLH1UNva4F4Gg%3d%3d,dWCUEqHuJ5YY3BUAKTFxfQ%3d%3d,2025-11-24T16:48:52.371463
161337_9470_12750980_27445877,THEATRST-187S-01,READING THEATER.THEATRST-187S-01.ENGLISH-187S-01.,"Bend, Torry",Spring 2024,THEATRST,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF","THEATRST, ENGLISH",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,wyPiFDDFNIVcT%2bhQ18RCiQ%3d%3d,WqlFX4zvC8hyMgYFuyuXFg%3d%3d,2025-11-24T16:48:52.371587
161337_9470_12750980_27446039,THEATRST-187S-01,READING THEATER.THEATRST-187S-01.ENGLISH-187S-01.,"Gobert, R. Darren",Spring 2024,THEATRST,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF","THEATRST, ENGLISH",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,wyPiFDDFNIVcT%2bhQ18RCiQ%3d%3d,%2feJWMztIOfo8DrVZFfAisg%3d%3d,2025-11-24T16:48:52.371666
161337_9470_12750987_28111704,THEATRST-211-01,MUSICAL THEATER: PERFORMANCE.THEATRST-211-01.DANCE-211-01.MUSIC-218-01.,"Donovan, Ryan",Spring 2024,THEATRST,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF","THEATRST, DANCE, MUSIC",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,I4fJ45BeluBK91W%2bMOODXg%3d%3d,n1egeJ2ogrx9a4n8659KKQ%3d%3d,2025-11-24T16:48:52.371743
161337_9470_12751043_28111698,THEATRST-263S-01,LIGHTING DESIGN.THEATRST-263S-01.ARTSVIS-235S-01.DANCE-276S-01.,"Webb, William",Spring 2024,THEATRST,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS, DANCE",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,1MfiirBZVRdtHPDRNIvWMg%3d%3d,bv9gcxoob%2fMFlXMJy%2bImSw%3d%3d,2025-11-24T16:48:52.371829
161337_9470_12751056_27991658,DANCE-309S-01,DANCING STATES OF MIND.DANCE-309S-01.CULANTH-311S-01.ICS-309S-01.THEATRST-309S-01.,"Klien, Michael",Spring 2024,DANCE,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF","DANCE, CULANTH, ICS, THEATRST",98979,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,QM5WOU4V0RCwegNRFKX8Yw%3d%3d,Ax39c7TVkIAYDIFLLBhUCg%3d%3d,2025-11-24T16:48:52.371966
161337_9470_12751069_28111865,MUSIC-116-01,ALEXANDER TECHNIQUE.MUSIC-116-01.DANCE-116-01.THEATRST-247-01.,"Pritchard, Eric",Spring 2024,MUSIC,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","MUSIC, DANCE, THEATRST",99015,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,A6MKxTZobeylVSgM7Eie4g%3d%3d,hfe4JgLNRk1VlZBw%2bsbXtg%3d%3d,2025-11-24T16:48:52.372044
161337_9470_12751094_27445877,THEATRST-262S-01,SCENE DESIGN.THEATRST-262S-01.ARTSVIS-234S-01.,"Bend, Torry",Spring 2024,THEATRST,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Kc4ovia09YRA6B3MJSqJQQ%3d%3d,WqlFX4zvC8hyMgYFuyuXFg%3d%3d,2025-11-24T16:48:52.372118
161337_9470_12751118_28111690,WRITING-267S-01,THE DIALOG LABORATORY.WRITING-267S-01.EDUC-267S-01.THEATRST-281S-01.,"Landes, David",Spring 2024,UWC,"8 of 15  responded (53.33%)



 View Report
                            



 Download PDF","WRITING, EDUC, THEATRST",99036,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Vimyl2VTwRob8xC5NR%2fDVQ%3d%3d,muPW3j7k1W5Je5KvYgYkUg%3d%3d,2025-11-24T16:48:52.372192
161337_9470_12751159_28112064,THEATRST-280S-01,DRAMATIC WRITING.THEATRST-280S-01.ENGLISH-226S-01.,"Bell, Neal",Spring 2024,THEATRST,"11 of 18  responded (61.11%)



 View Report
                            



 Download PDF","THEATRST, ENGLISH",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,a8hCTy5XIx0chuq4zey%2fYg%3d%3d,57TS2mBXeFv4jNUUlYJ1DQ%3d%3d,2025-11-24T16:48:52.372265
161337_9470_12751215_28112064,THEATRST-285S-01,WRITING THE TV DRAMA SERIES.THEATRST-285S-01.CINE-304S-01.ENGLISH-224S-01.VMS-220S-01.,"Bell, Neal",Spring 2024,THEATRST,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","THEATRST, CINE, ENGLISH, VMS",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ds%2f%2ff6OgXR1H0vw3TZG3TQ%3d%3d,57TS2mBXeFv4jNUUlYJ1DQ%3d%3d,2025-11-24T16:48:52.372338
161337_9470_12751255_28111957,GERMAN-335S-01,MODERN GERMAN THEATER & DRAMA.GERMAN-335S-01.THEATRST-223S-01.,"Jones, Amy",Spring 2024,GERMAN,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","GERMAN, THEATRST",98994,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,UZ3KfjesFEBwHYBWSN7lIQ%3d%3d,DQzJYF%2bqiwsJp%2fnSy8t%2fZw%3d%3d,2025-11-24T16:48:52.372421
