uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241480_27446185,CMAC-580S-01,DIGITAL HUMANITIES PROSEM 1.CMAC-580S-01.ARTHIST-580S-01.HCVIS-580S-01.ISS-580S-01.VMS-580S-01.,"Szabo, Victoria",Fall 2023,CMAC,"8 of 16  responded (50.00%)



 View Report
                            



 Download PDF","CMAC, ARTHIST, HCVIS, ISS, VMS",98825,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ym8AmIg6zrB6ADSPRlQRVQ%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T15:54:31.475858
154503_9169_12241630_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2023,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,oFKDdS55NxZ9Z%2b%2f2m6Ga8w%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:54:31.476003
153858_9169_12282849_27446185,CMAC-187FS-01,DIGITAL STORYTELLING.CMAC-187FS-01.ISS-187FS-01.VMS-187FS-01.,"Szabo, Victoria",Fall 2023,CMAC,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF",,98975,CtmkEaIRhsSP75R5T115eg%3d%3d,5qlBXytoJgb1kkR8zanj%2fA%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T15:54:31.476085
153858_9169_12282963_28112034,GSF-265S-01,DIGITAL FEMINISM.GSF-265S-01.CMAC-265S-01.COMPSCI-112S-01.I&E-265S-01.ISS-265S-01.SOCIOL-217S-01.VMS-286S-01.,"Gelfand, Rachel",Fall 2023,GSF,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF","GSF, CMAC, COMPSCI, I&E, ISS, SOCIOL, VMS",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,A1tx7iX1sZ%2bFsnxlm4VE2A%3d%3d,I222ioYFwEO7qHXxdme02w%3d%3d,2025-11-24T15:54:31.476165
153858_9169_12283049_27991540,I&E-253-01,SOCIAL MARKETING.I&E-253-01.CMAC-253-01.ISS-253-01.VMS-255-01.,"Dinin, Aaron",Fall 2023,I&E,"27 of 41  responded (65.85%)



 View Report
                            



 Download PDF","I&E, CMAC, ISS, VMS",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,9NvDGy4GKtK7OPN%2bvxU25Q%3d%3d,lEcO8z%2bUbcEi0GRRy2h3AA%3d%3d,2025-11-24T15:54:31.476243
153858_9169_12283090_27991540,I&E-252-01,LEARNING TO FAIL.I&E-252-01.CMAC-252-01.ISS-252-01.,"Dinin, Aaron",Fall 2023,I&E,"18 of 22  responded (81.82%)



 View Report
                            



 Download PDF","I&E, CMAC, ISS",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,CXKh9aSpy32PI3IeTeHnew%3d%3d,lEcO8z%2bUbcEi0GRRy2h3AA%3d%3d,2025-11-24T15:54:31.476552
161337_9470_12750942_27446001,CULANTH-172-01,ANTHROPOLOGY OF DESIGN AND UX.CULANTH-172-01.CMAC-172-01.I&E-172-01.ISS-172-01.SOCIOL-172-01.,"Baker, Lee",Spring 2024,CULANTHRO,"13 of 29  responded (44.83%)



 View Report
                            



 Download PDF","CULANTH, CMAC, I&E, ISS, SOCIOL",98978,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ETx02ZA4ypRTzyVzVahIzA%3d%3d,uJmh7CUQg%2frvDQy9mjaFKA%3d%3d,2025-11-24T15:54:31.476647
161337_9470_12751037_27991657,ARTSVIS-198-01,EXPERIMENTAL INTERFACE DESIGN.ARTSVIS-198-01.CMAC-198-01.ISS-198-01.VMS-198-01.,"Seaman, William",Spring 2024,ART&AHIST,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,fhub6jIrq1Qv1Rond0zQpQ%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:54:31.476726
161337_9470_12751258_27991540,I&E-253-01,SOCIAL MARKETING.I&E-253-01.CMAC-253-01.ISS-253-01.VMS-255-01.,"Dinin, Aaron",Spring 2024,I&E,"35 of 43  responded (81.40%)



 View Report
                            



 Download PDF","I&E, CMAC, ISS, VMS",98999,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,diPedf6wyCrVt03YqSREGw%3d%3d,lEcO8z%2bUbcEi0GRRy2h3AA%3d%3d,2025-11-24T15:54:31.476800
161325_9470_12752141_28112039,ARTHIST-719S-02,CREATIVE CARTOGRAPHY.ARTHIST-719S-02.ARTSVIS-719S-02.CMAC-719S-02.ISS-719S-02.,"Triplett, Edward",Spring 2024,ART&AHIST,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","ARTHIST, ARTSVIS, CMAC, ISS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,s5AEgkVh3dmXMgq0AIbAnw%3d%3d,0MsD1sOTUa1RprMonpNf8Q%3d%3d,2025-11-24T15:54:31.477045
161325_9470_12752204_27446127,ARTSVIS-575S-01,GENERATIVE MEDIA AUTHORSHIP.ARTSVIS-575S-01.CMAC-575S-01.ISS-575S-01.MUSIC-575S-01.VMS-575S-01.,"Supko, John",Spring 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, MUSIC, VMS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,85viLBsLqIvF%2f9oCN8kFdw%3d%3d,pk%2bXL7kU6nw3Z4chJauDCQ%3d%3d,2025-11-24T15:54:31.477141
161325_9470_12752204_27991657,ARTSVIS-575S-01,GENERATIVE MEDIA AUTHORSHIP.ARTSVIS-575S-01.CMAC-575S-01.ISS-575S-01.MUSIC-575S-01.VMS-575S-01.,"Seaman, William",Spring 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, MUSIC, VMS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,85viLBsLqIvF%2f9oCN8kFdw%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:54:31.477251
171571_9973_13645671_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2024,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,bRpW7VcvgCDIGWl8f8Eesw%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:54:31.477340
171571_9973_13645689_27446146,LIT-618S-01,THEORIES OF THE VISUAL.LIT-618S-01.ARTSVIS-618S-01.CINE-618S-01.CMAC-618S-01.ROMST-618S-01.VMS-618S-01.,"Hadjioannou, Markos",Fall 2024,LITERATURE,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","LIT, ARTSVIS, CINE, CMAC, ROMST, VMS",98858,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,mo89zKusSV7SfuMXD7sbbw%3d%3d,hMaeTnvmR9wzcLtNqWXR8Q%3d%3d,2025-11-24T15:54:31.477418
171571_9973_13645716_27446170,VMS-565S-01,"NEW MEDIA, MEMORY, AND ARCHIVE.VMS-565S-01.CMAC-565S-01.ISS-565S-01.","Olson, Mark",Fall 2024,ART&AHIST,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF","VMS, CMAC, ISS",98816,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,wpyhrbXDnzncVWYG3KCp1A%3d%3d,nL9jzaU2TsH0Q7NyCraK9A%3d%3d,2025-11-24T15:54:31.477650
171571_9973_13645726_27446170,ARTHIST-581S-01,HIST & CULT VIZ PROSEMINAR 2.ARTHIST-581S-01.CMAC-581S-01.HCVIS-581S-01.ISS-581S-01.VMS-581S-01.,"Olson, Mark",Fall 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTHIST, CMAC, HCVIS, ISS, VMS",98816,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,3r2khbTkkD8ywzmZ6XT0Gg%3d%3d,nL9jzaU2TsH0Q7NyCraK9A%3d%3d,2025-11-24T15:54:31.477757
