uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987234_27466685,AMES-326A-01,RELIGIOUS CITIZENSHIP.AMES-326A-01.RELIGION-371A-01.ICS-362A-01.POLSCI-395A-01.PUBPOL-339A-01.,"Lo, Mbaye",Summer I 2023,AMES,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","AMES, RELIGION, ICS, POLSCI, PUBPOL",98965,R3taZNKnw14IRH7UBESaUg%3d%3d,8mMVIfOvzVxBYIhJDBwLpA%3d%3d,%2fWt4Q5%2boOYWs8P52yAUmbQ%3d%3d,2025-11-24T16:43:51.263008
154503_9169_12241108_27991378,RELIGION-665S-01,ISLAMIC PHILOSOPHY & MYSTICISM.RELIGION-665S-01.,"Kadivar, Mohsen",Fall 2023,RELIGION,"11 of 11  responded (100.00%)



 View Report
                            



 Download PDF",RELIGION,98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,rsdSFX3IxSgWT6zh7KFOlw%3d%3d,uTu35%2bvANMxhJQOhtLN3aw%3d%3d,2025-11-24T16:43:51.263121
154503_9169_12241491_27445979,RELIGION-885-01,CHRISTIAN MANUSCRIPT CULTURE.RELIGION-885-01.CLST-881-01.HISTORY-881-01.,"Knust, Jennifer",Fall 2023,RELIGION,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","RELIGION, CLST, HISTORY",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2ff9Gc2AGvvKUNwIxskMudA%3d%3d,vy1gy1wVu8adBDwwmtCBmw%3d%3d,2025-11-24T16:43:51.263203
154503_9169_12241582_27466686,RELIGION-765S-01,"EXISTENTIALISM, NIHILISM, RELI.RELIGION-765S-01.AAAS-765S-01.ENGLISH-765S-01.GSF-765S-01.","Winters, Joe",Fall 2023,RELIGION,"5 of 17  responded (29.41%)



 View Report
                            



 Download PDF","RELIGION, AAAS, ENGLISH, GSF",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,UQovT%2fzn8OTmzL21U5owSg%3d%3d,WlPfLAockrXSNpuf%2bmBUlA%3d%3d,2025-11-24T16:43:51.263280
154503_9169_12241588_27446110,EAS-700-01,EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,"Chow, Eileen",Fall 2023,EAS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF","EAS, AMES, HISTORY, RELIGION",98835,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,zg011vLXpFdh52rMViwMQg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T16:43:51.263357
153858_9169_12281962_27445812,RELIGION-350S-01,NON-CANONICAL GOSPELS.RELIGION-350S-01.,"Goodacre, Mark",Fall 2023,RELIGION,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF",RELIGION,99028,CtmkEaIRhsSP75R5T115eg%3d%3d,uIFMQvJDY9fzRgpzAHs%2foQ%3d%3d,OvvL7c%2b%2fvsqbjMG9CbPaCg%3d%3d,2025-11-24T16:43:51.263433
153858_9169_12281996_28111756,RELIGION-266S-01,HARRY POTTER AND RELIGION.RELIGION-266S-01.,"Carneiro, Larissa",Fall 2023,RELIGION,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",RELIGION,99028,CtmkEaIRhsSP75R5T115eg%3d%3d,oH36Yj1HzPmDK426yAI%2feA%3d%3d,Linu4AHJbYQaTfKDAb3rdw%3d%3d,2025-11-24T16:43:51.263506
153858_9169_12282748_28080088,HISTORY-190FS-01,TOPICS IN FOCUS PROGRAM.HISTORY-190FS-01.JEWISHST-190FS-01.RELIGION-190FS-02.,"Casarella, Peter",Fall 2023,HISTORY,"5 of 11  responded (45.45%)



 View Report
                            



 Download PDF",,98997,CtmkEaIRhsSP75R5T115eg%3d%3d,x4%2bV0xxE5ACVruljQbpf%2fQ%3d%3d,TwVZhr5XPTlR%2bgA0ZYsW%2fw%3d%3d,2025-11-24T16:43:51.263582
153858_9169_12282820_27466686,RELIGION-201-01,"RACE, FILM, AND RELIGION.RELIGION-201-01.AAAS-201-01.GSF-201-01.","Winters, Joe",Fall 2023,RELIGION,"31 of 49  responded (63.27%)



 View Report
                            



 Download PDF","RELIGION, AAAS, GSF",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bA5wGyMOXmTHeBx6zkM7Sg%3d%3d,WlPfLAockrXSNpuf%2bmBUlA%3d%3d,2025-11-24T16:43:51.263658
153858_9169_12282855_28112067,AMES-203S-01,MODERN ISLAM.AMES-203S-01.RELIGION-203S-01.,"Safi, Omid",Fall 2023,AMES,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF","AMES, RELIGION",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,s5WKeDyVaKUInwUlacU02A%3d%3d,FGpevo3s9%2fpzG3lcV%2fsQEQ%3d%3d,2025-11-24T16:43:51.263731
153858_9169_12282857_27445955,CLST-210-01,THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,"Atkins, Jed",Fall 2023,CLASSICAL,"48 of 122  responded (39.34%)



 View Report
                            



 Download PDF","CLST, ETHICS, PHIL, PUBPOL, RELIGION",98974,CtmkEaIRhsSP75R5T115eg%3d%3d,3fw10u9O%2fpjBJyGrp3s%2bcQ%3d%3d,cagrsFCAf5fxNvz1I8o%2bfg%3d%3d,2025-11-24T16:43:51.263809
153858_9169_12282899_27991797,AMES-186-01,TURKS AND EUROPE.AMES-186-01.HISTORY-212-01.RELIGION-228-01.SES-287-01.,"Goknar, Erdag",Fall 2023,AMES,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF","AMES, HISTORY, RELIGION, SES",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,N%2fEhuAt0GGy1s2MpUJdgkQ%3d%3d,AABXoPdmv0kXjZ7md56yVg%3d%3d,2025-11-24T16:43:51.263915
153858_9169_12282901_27991374,RELIGION-290S-01,SPECIAL TOPICS.RELIGION-290S-01.JEWISHST-290S-02.,"Brettler, Marc",Fall 2023,RELIGION,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","RELIGION, JEWISHST",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,bE8JKjjYGsfVRb2zXM5gmg%3d%3d,CqBlUR09Hmk0QC8Pm9vm4Q%3d%3d,2025-11-24T16:43:51.263999
153858_9169_12282901_28112068,RELIGION-290S-01,SPECIAL TOPICS.RELIGION-290S-01.JEWISHST-290S-02.,"Coates, Andrew",Fall 2023,RELIGION,"8 of 8  responded (100.00%)



 View Report
                            



 Download PDF","RELIGION, JEWISHST",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,bE8JKjjYGsfVRb2zXM5gmg%3d%3d,QXlcIjbJA8RgZRyW3mLY%2fA%3d%3d,2025-11-24T16:43:51.264078
153858_9169_12282906_28112055,AMES-328S-01,LITERARY ISLAM.AMES-328S-01.LIT-328S-01.RELIGION-326S-01.,"McLarney, Ellen",Fall 2023,AMES,"11 of 11  responded (100.00%)



 View Report
                            



 Download PDF","AMES, LIT, RELIGION",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,MBflIGe2H5%2fsboTzvanMBg%3d%3d,NGE84KCFpVx%2bEsNS7N5srA%3d%3d,2025-11-24T16:43:51.264155
153858_9169_12282907_28112067,AMES-209S-01,"LOVE, SPIRIT, AND MYSTICISM.AMES-209S-01.MEDREN-359S-01.RELIGION-209S-01.","Safi, Omid",Fall 2023,AMES,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF","AMES, MEDREN, RELIGION",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,MfK%2fcjA%2b96ZLYUBa0FVuaQ%3d%3d,FGpevo3s9%2fpzG3lcV%2fsQEQ%3d%3d,2025-11-24T16:43:51.264232
153858_9169_12282953_27991374,RELIGION-190FS-01,FOCUS SEMINARS (TOP).RELIGION-190FS-01.JEWISHST-190FS-02.,"Brettler, Marc",Fall 2023,RELIGION,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",,99028,CtmkEaIRhsSP75R5T115eg%3d%3d,LTWYUQkKbmK3dIjrJ3yzRw%3d%3d,CqBlUR09Hmk0QC8Pm9vm4Q%3d%3d,2025-11-24T16:43:51.264309
153858_9169_12282958_28112055,AMES-319S-01,ANDALUSIA.AMES-319S-01.JEWISHST-319S-01.MEDREN-352S-01.RELIGION-214S-01.ROMST-319S-01.,"McLarney, Ellen",Fall 2023,AMES,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF","AMES, JEWISHST, MEDREN, RELIGION, ROMST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,fXoRp89uvSL61F4y80vMYg%3d%3d,NGE84KCFpVx%2bEsNS7N5srA%3d%3d,2025-11-24T16:43:51.264384
153858_9169_12283014_27991355,HISTORY-119FS-01,RELIGIOUS FREEDOM IN AMERICA.HISTORY-119FS-01.RELIGION-118FS-01.,"Wood Crowley, Jenny",Fall 2023,HISTORY,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF",,98997,CtmkEaIRhsSP75R5T115eg%3d%3d,cC3q2hl4lVOU7kpm6vbgXA%3d%3d,T8W9fg%2bFQ7Sbx5h1cWYUAw%3d%3d,2025-11-24T16:43:51.264459
153858_9169_12283016_28111931,RELIGION-261-01,HISTORY TO FANTASY: RELIGIONS.RELIGION-261-01.ENGLISH-254-01.GSF-261-01.HISTORY-244-01.MEDREN-354-01.,"Dubois, Katharine",Fall 2023,RELIGION,"6 of 25  responded (24.00%)



 View Report
                            



 Download PDF","RELIGION, ENGLISH, GSF, HISTORY, MEDREN",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,YNU6SqlBc6BEivEL83GThw%3d%3d,EketNiIHngD8k0sI2y46iA%3d%3d,2025-11-24T16:43:51.264537
153858_9169_12283020_28112073,RELIGION-120-01,BUDDHISM.RELIGION-120-01.AMES-114-01.,"Ligo, Seth",Fall 2023,RELIGION,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF","RELIGION, AMES",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,RZr2CGOvYVKFZFq8q5Rq8w%3d%3d,CjXOZuEv%2fss6MOqjPrThXg%3d%3d,2025-11-24T16:43:52.039468
153858_9169_12283076_28112068,RELIGION-268-01,RELIGION AND FILM.RELIGION-268-01.CINE-273-01.DOCST-268-01.VMS-269-01.,"Coates, Andrew",Fall 2023,RELIGION,"7 of 34  responded (20.59%)



 View Report
                            



 Download PDF","RELIGION, CINE, DOCST, VMS",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,zzJZ1GHsO5Tl01CC4CD1hw%3d%3d,QXlcIjbJA8RgZRyW3mLY%2fA%3d%3d,2025-11-24T16:43:52.039566
161337_9470_12750074_28080109,RELIGION-151-01,CHRISTIAN ORTHODOXY AND HERESY.RELIGION-151-01.,"Marcantonio, Jillian",Spring 2024,RELIGION,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF",RELIGION,99028,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,wszzD1RSo6iUEpMe7PyhAQ%3d%3d,LhGcYKG4MWtqIAsM24TbAQ%3d%3d,2025-11-24T16:43:52.039647
161337_9470_12750080_28807711,RELIGION-185-01,AMERICA'S GODS.RELIGION-185-01.,"Tintera, Matthew",Spring 2024,RELIGION,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",RELIGION,99028,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,NnvpflUO%2b0GoKemdqtPkhQ%3d%3d,iQKsQPbJ1lmTNrZH6RzfQQ%3d%3d,2025-11-24T16:43:52.039782
161337_9470_12750086_28111756,RELIGION-202S-02,PSYCHEDELIC RELIGIONS.RELIGION-202S-02.,"Carneiro, Larissa",Spring 2024,RELIGION,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",RELIGION,99028,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,UdLmziiGvLQ%2f%2bRjqkKvmFg%3d%3d,Linu4AHJbYQaTfKDAb3rdw%3d%3d,2025-11-24T16:43:52.039917
161337_9470_12750125_27445979,RELIGION-101-01,INTRO TO RELIGIOUS STUDIES.RELIGION-101-01.,"Knust, Jennifer",Spring 2024,RELIGION,"9 of 16  responded (56.25%)



 View Report
                            



 Download PDF",RELIGION,99028,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Cf8kUaHgaU2OAJ4JhPiNxA%3d%3d,vy1gy1wVu8adBDwwmtCBmw%3d%3d,2025-11-24T16:43:52.040048
161337_9470_12750130_28111756,RELIGION-249-01,RELIGION AND SPORT.RELIGION-249-01.,"Carneiro, Larissa",Spring 2024,RELIGION,"37 of 43  responded (86.05%)



 View Report
                            



 Download PDF",RELIGION,99028,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,M2etHldrZypwcBoh7pBQqg%3d%3d,Linu4AHJbYQaTfKDAb3rdw%3d%3d,2025-11-24T16:43:52.040152
